id,kod,ad,tip
2219,EUHOL,Euro Yatırım Holding A.Ş.,Hisse
2837,EUKYO,Euro Kapital Yatırım Ortaklığı A.Ş.,Hisse
82311,EUREN,EUROPEN  ENDÜSTRİ,Hisse
1361,EUYO,Euro Menkul Kıymet Yatırım Ortaklığı A.Ş.,Hisse
87993,EYGYO,EYG GAYRİMENKUL,Hisse
71024,FADE,FADE GIDA YAT. SAN. TİC. A.Ş.,Hisse
714,FENER,Fenerbahçe Futbol AŞ,Hisse
3942,FLAP,Flap Kongre Toplantı Hizmetleri Otomotiv ve Turizm,Hisse
201,FMIZP,Federal-Mogul İzmit Piston Ve Pim Sanayi A.Ş.,Hisse
9551,FONET,Fonet Bilgi Teknolojileri A.Ş.,Hisse
56870,FORMT,FORMET ÇELİK SANAYİ,Hisse
205,FRIGO,Frıgo - Pak Gıda Maddeleri San. Ve Tic. A.Ş.,Hisse
206,FROTO,Ford Otomotiv Sanayi A.Ş.,Hisse
209,GARAN,T.Garanti Bankası A.Ş.,Hisse
210,GARFA,Garanti Faktoring A.Ş.,Hisse
2235,GEDIK,Gedik Yatırım Menkul Değerler A.Ş.,Hisse
8264,GEDZA,Gediz Ambalaj Sanayi ve Ticaret A.Ş.,Hisse
75871,GENIL,GEN İLAÇ,Hisse
221,GENTS,Gentaş Genel Metal Sanayi Ve Ticaret A.Ş.,Hisse
222,GEREL,Gersan Elektrik Ticaret Ve Sanayi A. Ş.,Hisse
75934,GESAN,GİRİŞİM ELEKTRİK,Hisse
2876,GLBMD,Global Menkul Değerler A.Ş.,Hisse
77228,GLCVY,GELECEK VARLIK,Hisse
55171,GLDTR,ISTANBUL GOLD B TIPI,Hisse
1342,GLRYH,Güler Yatırım Holding A.Ş.,Hisse
226,GLYHO,Global Yatırım Holding A.Ş.,Hisse
76197,GMSTR, İstanbul Silver B Tipi Gümüş BYF,Hisse
3808,GMSTRF,İstanbul Gümüş BYF,Hisse
78005,GMTAS,GİMAT MAĞAZACILIK,Hisse
230,GOLTS,Göltaş Goller Bolgesi Çimento San.Ve Tic.A.Ş.,Hisse
231,GOODY,Goodyear Lastikleri T.A.Ş.,Hisse
2172,GOZDE,Gözde Girişim Sermayesi Yatırım Ortaklığı A.Ş.,Hisse
235,GRNYO,Garanti Yatırım Ortaklığı A.Ş.,Hisse
80189,GRSEL,GÜR-SEL TURİZM,Hisse
